MECID,CommitteeName,Comm_Type,Comm_Status,Candidate FName,Candidate MName,Candidate LName,ElectionDate,Office Sought
C000295,Friends Of Tom Dempsey,Candidate,Terminated,Tom,,Dempsey,11/5/2002,State Representative
C000295,Friends Of Tom Dempsey,Candidate,Terminated,Tom,,Dempsey,8/3/2004,State Representative
C000295,Friends Of Tom Dempsey,Candidate,Terminated,Tom,,Dempsey,11/2/2004,State Representative
C000295,Friends Of Tom Dempsey,Candidate,Terminated,Tom,,Dempsey,8/8/2006,State Representative
C000295,Friends Of Tom Dempsey,Candidate,Terminated,Tom,,Dempsey,11/7/2006,State Representative
C000296,Voters On Target For Education (V.O.T.E.),Political Action,Active,,,,,
C000298,Building for Education Committee,Political Action,Terminated,,,,,
C000299,Sheila Wright Committee For City Council ,Candidate,Terminated,Shelia,O,Wright,4/8/2003,Council Person
C000299,Sheila Wright Committee For City Council ,Candidate,Terminated,Shelia,O,Wright,2/6/2007,Council Person
C000300,Normandy Firefighters Campaign Committee,Political Action,Terminated,,,,,
C000301,Citizens To Re Elect Parrie May,Candidate,Terminated,Parrie, ,May,3/6/2001,Alderperson
C000301,Citizens To Re Elect Parrie May,Candidate,Terminated,Parrie, ,May,4/3/2001,Alderperson
C000304,Committee To Re-Elect Mary Williams-Neal,Candidate,Terminated,Mary,,Williams-Neal,3/30/1999,Council Person
C000306,Glover For Mayor Committee,Candidate,Terminated,Jim,,Glover,3/2/1999,Mayor
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,8/6/2002,State Representative
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,11/5/2002,State Representative
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,8/3/2004,State Senator
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,11/2/2004,State Senator
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,8/5/2008,State Senator
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,11/4/2008,State Senator
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,8/7/2012,Circuit Judge
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,11/6/2012,Circuit Judge
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,8/7/2018,Circuit Judge
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,11/6/2018,Circuit Judge
C000308,Missourians For Mayer,Candidate,Active,Robert,N,Mayer,8/6/2024,Circuit Judge
C000309,Silver Dollar City Branson Area Communities Political Action Committee Inc,Political Action,Active,,,,,
C000310,Randolph County Republican Central Committee,Political Party,Active,,,,,
C000311,Citizens Committee for NKC Schools,Political Action,Terminated,,,,,
C000312,The Stolar Partnership LLP PAC,Political Action,Terminated,,,,,
C000313,Talent For Governor,Debt Service,Terminated,James,M,Talent,11/7/2000,Governor
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,3/2/1999,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,3/4/2003,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,4/8/2003,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,3/6/2007,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,4/3/2007,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,3/8/2011,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,4/5/2011,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,3/3/2015,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,4/7/2015,Alderperson
C000314,Citizens For Dionne Flowers,Candidate,Terminated,Dionne,,Flowers,3/5/2019,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,3/2/1999,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,3/4/2003,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,4/8/2003,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,3/6/2007,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,4/3/2007,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,3/8/2011,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,4/5/2011,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,3/3/2015,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,4/7/2015,Alderperson
C000316,Terry Kennedy Campaign Committee,Candidate,Active,Terry ,M,Kennedy,3/7/2023,Alderperson
C000317,Committee To Elect Jr Mcdaniel,Candidate,Terminated,Jr,,Mcdaniel,4/6/1999,Alderperson
C000318,Committee To Elect Tom Bauer,Candidate,Terminated,Thomas,E,Bauer,3/2/1999,Alderperson
C000318,Committee To Elect Tom Bauer,Candidate,Terminated,Thomas,E,Bauer,3/4/2003,Alderperson
C000318,Committee To Elect Tom Bauer,Candidate,Terminated,Thomas,E,Bauer,4/8/2003,Alderperson
C000318,Committee To Elect Tom Bauer,Candidate,Terminated,Thomas,E,Bauer,12/13/2005,Alderperson
C000318,Committee To Elect Tom Bauer,Candidate,Terminated,Thomas,E,Bauer,2/7/2006,Alderperson
C000319,Citizens To Elect Prince Carter,Candidate,Terminated,Prince,,Carter,4/6/1999,Alderperson
C000320,Committee To Elect Becky Nace,Candidate,Terminated,Becky,,Nace,2/25/2003,Council Person
C000320,Committee To Elect Becky Nace,Candidate,Terminated,Becky,,Nace,3/25/2003,Council Person
C000321,Citizens For Jim Rowland,Candidate,Terminated,Jim,,Rowland,2/25/2003,Council Person
C000321,Citizens For Jim Rowland,Candidate,Terminated,Jim,,Rowland,3/25/2003,Council Person
C000322,The Right Way-PAC,Political Action,Terminated,,,,,
C000324,1st Ward Progressive Democratic Organization,Political Action,Terminated,,,,,
C000325,Boilermakers Local #27 Voluntary Fund,Political Action,Active,,,,,
C000326,Citizens To Elect Jennifer Joyce,Candidate,Terminated,Jennifer,M,Joyce,8/3/2004,Circuit Attorney
C000326,Citizens To Elect Jennifer Joyce,Candidate,Terminated,Jennifer,M,Joyce,11/2/2004,Circuit Attorney
C000326,Citizens To Elect Jennifer Joyce,Candidate,Terminated,Jennifer,M,Joyce,8/5/2008,Circuit Attorney
C000326,Citizens To Elect Jennifer Joyce,Candidate,Terminated,Jennifer,M,Joyce,11/4/2008,Circuit Attorney
C000326,Citizens To Elect Jennifer Joyce,Candidate,Terminated,Jennifer,M,Joyce,8/7/2012,Circuit Attorney
C000326,Citizens To Elect Jennifer Joyce,Candidate,Terminated,Jennifer,M,Joyce,11/6/2012,Circuit Attorney
C000326,Citizens To Elect Jennifer Joyce,Candidate,Terminated,Jennifer,M,Joyce,8/4/2020,Statewide Office
C000327,IBEW Local Union 1439 Political Action Committee,Political Action,Active,,,,,
C000328,Butler County Libertarian Central Committee,Political Party,Terminated,,,,,
C000329,Carpenters Local #978 Political Action Committee,Political Action,Active,,,,,
C000330,Kansas City Regional Association Of Realtors Missouri RPAC,Political Action,Active,,,,,
C000331,Conway For Alderman,Debt Service,Terminated,Stephen ,,Conway,3/2/1999,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,4/3/2001,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,3/8/2005,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,4/5/2005,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,3/3/2009,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,4/7/2009,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,3/5/2013,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,4/2/2013,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,3/7/2017,Alderperson
C000332,Citizens For Ortmann,Candidate,Active,Kenneth ,A ,Ortmann,3/2/2021,Alderperson
C000334,National Association of Social Workers Missouri Chapter Political Action for Candidate Election,Political Action,Active,,,,,
C000335,Lewis Reed For Alderman Committee,Candidate,Terminated,Lewis,,Reed,3/4/2003,Alderperson
C000335,Lewis Reed For Alderman Committee,Candidate,Terminated,Lewis,,Reed,4/8/2003,Alderperson
C000336,National Republican Congressional Committee (NRCC),Political Action,Terminated,,,,,
C000337,Committee To Elect Hendrickson,Candidate,Terminated,Carl,H,Hendrickson,8/3/2004,State Senator
C000338,La Voz Hispana,Political Action,Terminated,,,,,
C000339,Committee to Elect Mary (Anita) Groves Bland,Political Action,Terminated,,,,,
C000340,Mo Concrete Association Political Action Committee,Political Action,Active,,,,,
C000341,The Four Freedoms Democratic Club,Political Action,Terminated,,,,,
C000342,Butler County Central Republican Committee,Political Party,Active,,,,,
C000343,Laborers' International Union of North America Local 53 Political Action Account,Political Action,Terminated,,,,,
C000344,Newton County Democratic Central Committee,Political Party,Active,,,,,
C000345,Citizens For Nash,Candidate,Terminated,Troy,,Nash,2/25/2003,Council Person
C000345,Citizens For Nash,Candidate,Terminated,Troy,,Nash,3/25/2003,Council Person
C000346,United Democrats for Progress (UDP),Political Action,Terminated,,,,,
C000347,Chesterfield Township Democratic Club,Political Action,Terminated,,,,,
C000348,Citizens for Justice + Truth,Political Action,Terminated,,,,,
C000349,Mo Association Of Criminal Defense Lawyers Political Action Committee,Political Action,Active,,,,,
C000350,Harrison County Democrat Central Committee,Political Party,Active,,,,,
C000351,Clay County Republican Exchange,Political Action,Terminated,,,,,
C000352,Republican National State Elections Committee Missouri Account,Political Action,Terminated,,,,,
C000355,Taxpayers in Support of Public Education,Political Action,Active,,,,,
C000356,Conway Campaign Committee,Candidate,Terminated,Patrick,,Conway,8/6/2002,County Clerk
C000356,Conway Campaign Committee,Candidate,Terminated,Patrick,,Conway,11/5/2002,County Clerk
C000357,Snyder Campaign Committee,Political Action,Terminated,,,,,
C000358,Chrysler Service Contracts Inc Political Support Committee - Missouri,Political Action,Terminated,,,,,
C000359,Waits For County Legislature,Candidate,Terminated,Dennis,,Waits,8/6/2002,County Legislature
C000359,Waits For County Legislature,Candidate,Terminated,Dennis,,Waits,11/5/2002,County Legislature
C000359,Waits For County Legislature,Candidate,Terminated,Dennis,,Waits,11/7/2006,County Legislature
C000359,Waits For County Legislature,Candidate,Terminated,Dennis,,Waits,8/3/2010,County Legislature
C000360,Promo PAC,Political Action,Active,,,,,
C000361,Concerned Citizens Continuing Committee,Political Action,Terminated,,,,,
C000363,MO Freight Rail Political Action Committee,Political Action,Terminated,,,,,
C000364,Lake of the Ozarks Marine Dealers Association PAC,Political Action,Terminated,,,,,
C000366,Laborers Local Union 662 Voluntary Political Fund,Political Action,Active,,,,,
C000367,Democrats for Community Empowerment,Political Action,Terminated,,,,,
C000369,Committee To Elect Carl Bussey,Candidate,Terminated,Carl,,Bussey,8/4/1998,County Legislature
C000370,Friends + Supporters Of Jerry King,Candidate,Terminated,Jerry,,King,8/6/2002,State Representative
C000370,Friends + Supporters Of Jerry King,Candidate,Terminated,Jerry,,King,11/5/2002,State Representative
C000370,Friends + Supporters Of Jerry King,Candidate,Terminated,Jerry,,King,8/3/2004,State Representative
C000370,Friends + Supporters Of Jerry King,Candidate,Terminated,Jerry,,King,11/2/2004,State Representative
C000372,10th Ward Democratic Campaign Committee,Political Action,Terminated,,,,,
C000373,Committee To Elect Don Norris,Candidate,Terminated,Norris,,Don,8/6/2002,Prosecuting Attorney
C000373,Committee To Elect Don Norris,Candidate,Terminated,Norris,,Don,11/5/2002,Prosecuting Attorney
C000373,Committee To Elect Don Norris,Candidate,Terminated,Norris,,Don,8/8/2006,Prosecuting Attorney
C000374,Public Safety Concern,Political Action,Active,,,,,
C000375,Laborers Union Local No 916 Voluntary Political Fund,Political Action,Terminated,,,,,
C000376,Citizens for Responsible Leadership,Political Action,Terminated,,,,,
C000377,Can Do's Committee,Political Action,Terminated,,,,,
C000378,Laborers Union Local No 955 Voluntary Political Fund,Political Action,Terminated,,,,,
C000380,Citizens For Spence,Candidate,Terminated,Bob,,Spence,8/6/2002,County Legislature
C000380,Citizens For Spence,Candidate,Terminated,Bob,,Spence,11/5/2002,County Legislature
C000380,Citizens For Spence,Candidate,Terminated,Bob,,Spence,11/7/2006,County Legislature
C000380,Citizens For Spence,Candidate,Terminated,Bob,,Spence,8/3/2010,County Legislature
C000380,Citizens For Spence,Candidate,Terminated,Bob,,Spence,11/2/2010,County Legislature
C000380,Citizens For Spence,Candidate,Terminated,Bob,,Spence,8/5/2014,County Legislature
C000381,Citizens For Janice Ellis,Candidate,Terminated,Janice,,Ellis,3/2/1999,Mayor
C000383,MRA Political Action Committee,Political Action,Terminated,,,,,
C000384,Citizens For Burrell,Candidate,Terminated,Don,E,Burrell Jr,11/7/2000,Circuit Judge
C000385,Committee To Elect Phillip Britt,Candidate,Terminated,Phillip,,Britt,8/6/2002,State Representative
C000386,Laborers Local No 829 Voluntary Political Fund,Political Action,Terminated,,,,,
C000387,St Charles County Republican Central Committee,Political Party,Active,,,,,
C000388,Laborers Union Local No 424 Voluntary Political Fund,Political Action,Terminated,,,,,
C000389,Citizens For Terry Young,Candidate,Terminated,Terry,,Young,8/6/2002,State Representative
C000389,Citizens For Terry Young,Candidate,Terminated,Terry,,Young,11/5/2002,State Representative
C000390,MO ATU-Cope,Political Action,Terminated,,,,,
C000391,Spanish Lake Township Democrats,Political Action,Terminated,,,,,
C000392,Laborers Local No 1104 Voluntary PAC,Political Action,Active,,,,,
C000393,FEAPAC of Missouri,Political Action,Active,,,,,
C000395,Laborers Local 840 Voluntary Political Fund,Political Action,Terminated,,,,,
C000396,Fire Fighters Action Committee to Elect Mehlville Firefighters L-1889 (F.A.C.E),Political Action,Terminated,,,,,
C000397,The Show-Me Council,Political Action,Active,,,,,
C000398,St Charles County Libertarian Central Committee,Political Action,Terminated,,,,,
C000399,MBA Truman Region PAC,Political Action,Active,,,,,
C000400,MBA River Heritage Region PAC,Political Action,Active,,,,,
C000401,MBA Pony Express Region PAC,Political Action,Active,,,,,
C000402,MBA Ozark Region PAC,Political Action,Active,,,,,
C000403,MBA Mark Twain Region PAC,Political Action,Active,,,,,
C000404,MBA Gateway Region PAC,Political Action,Active,,,,,
C000405,MBA Capitol Region PAC,Political Action,Active,,,,,
C000406,Local 148 International Union of Operating Engineers MO PAC,Political Action,Active,,,,,
C000407,Democrats of Randolph County,Political Action,Terminated,,,,,
C000410,Hampton Committee,Candidate,Terminated,Mark,,Hampton,8/6/2002,State Representative
C000410,Hampton Committee,Candidate,Terminated,Mark,,Hampton,11/5/2002,State Representative
C000410,Hampton Committee,Candidate,Terminated,Mark,,Hampton,8/3/2004,State Representative
C000411,Greg Shelton For State Representative,Candidate,Terminated,Greg,,Shelton,8/4/1998,State Representative
C000411,Greg Shelton For State Representative,Candidate,Terminated,Greg,,Shelton,11/3/1998,State Representative
C000412,People For Chris Caviness,Candidate,Terminated,Deborah,,Caviness,11/3/1998,State Senator
C000412,People For Chris Caviness,Candidate,Terminated,Deborah,,Caviness,8/2/2022,State Senator
C000414,Citizens For Rooney,Debt Service,Terminated,James,,Rooney,11/3/1998,State Representative
C000415,Lanie Black For State Representative,Candidate,Terminated,Lanie,,Black,8/6/2002,State Representative
C000415,Lanie Black For State Representative,Candidate,Terminated,Lanie,,Black,11/5/2002,State Representative
C000415,Lanie Black For State Representative,Candidate,Terminated,Lanie,,Black,8/3/2004,State Representative
C000415,Lanie Black For State Representative,Candidate,Terminated,Lanie,,Black,11/2/2004,State Representative
C000416,Committee To Elect Wes Wagner,Candidate,Terminated,Wes,,Wagner,8/6/2002,State Representative
C000416,Committee To Elect Wes Wagner,Candidate,Terminated,Wes,,Wagner,11/5/2002,State Representative
C000416,Committee To Elect Wes Wagner,Candidate,Terminated,Wes,,Wagner,8/3/2004,State Representative
C000416,Committee To Elect Wes Wagner,Candidate,Terminated,Wes,,Wagner,11/2/2004,State Representative
C000418,Citizens For Peter Myers 160Th District-Missouri,Candidate,Terminated,Peter,C,Myers,8/6/2002,State Representative
C000418,Citizens For Peter Myers 160Th District-Missouri,Candidate,Terminated,Peter,C,Myers,11/5/2002,State Representative
C000418,Citizens For Peter Myers 160Th District-Missouri,Candidate,Terminated,Peter,C,Myers,8/3/2004,State Representative
C000418,Citizens For Peter Myers 160Th District-Missouri,Candidate,Terminated,Peter,C,Myers,11/2/2004,State Representative
C000419,Citizens For Danie Moore,Candidate,Terminated,Danielle ,,Moore,8/6/2002,State Representative
C000419,Citizens For Danie Moore,Candidate,Terminated,Danielle ,,Moore,11/5/2002,State Representative
C000419,Citizens For Danie Moore,Candidate,Terminated,Danielle ,,Moore,8/3/2004,State Representative
C000419,Citizens For Danie Moore,Candidate,Terminated,Danielle ,,Moore,11/2/2004,State Representative
C000419,Citizens For Danie Moore,Candidate,Terminated,Danielle ,,Moore,8/8/2006,State Representative
C000419,Citizens For Danie Moore,Candidate,Terminated,Danielle ,,Moore,11/7/2006,State Representative
C000419,Citizens For Danie Moore,Candidate,Terminated,Danielle ,,Moore,8/3/2010,State Senator
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,8/6/2002,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,11/5/2002,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,8/8/2006,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,11/7/2006,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,8/3/2010,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,11/2/2010,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,8/5/2014,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,11/4/2014,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,8/7/2018,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,11/6/2018,County Legislature
C000421,Friends Of Scott Burnett,Candidate,Active,Scott,,Burnett,8/2/2022,County Legislature
C000422,Friends For Amber H Boykins,Debt Service,Terminated,Amber,,Boykins,8/6/2002,State Representative
C000422,Friends For Amber H Boykins,Debt Service,Terminated,Amber,,Boykins,11/5/2002,State Representative
C000422,Friends For Amber H Boykins,Debt Service,Terminated,Amber,,Boykins,8/3/2004,State Representative
C000422,Friends For Amber H Boykins,Debt Service,Terminated,Amber,,Boykins,11/2/2004,State Representative
C000422,Friends For Amber H Boykins,Debt Service,Terminated,Amber,,Boykins,8/8/2006,State Senator
C000423,Citizens for Aboussie,Political Action,Terminated,,,,,
C000424,Ward For Senate,Candidate,Terminated,Dan,,Ward,8/6/2002,State Representative
C000424,Ward For Senate,Candidate,Terminated,Dan,,Ward,11/5/2002,State Representative
C000424,Ward For Senate,Candidate,Terminated,Dan,,Ward,8/3/2004,State Senator
C000424,Ward For Senate,Candidate,Terminated,Dan,,Ward,11/2/2004,State Senator
C000425,Citizens For Ron Finley,Candidate,Terminated,Ronald,E,Finley,8/6/2002,County Legislature
C000425,Citizens For Ron Finley,Candidate,Terminated,Ronald,E,Finley,11/5/2002,County Legislature
C000425,Citizens For Ron Finley,Candidate,Terminated,Ronald,E,Finley,2/25/2003,Council Person
C000425,Citizens For Ron Finley,Candidate,Terminated,Ronald,E,Finley,3/25/2003,Council Person
C000426,Missourians For Matt Blunt,Debt Service,Terminated,Matt,,Blunt,8/3/2004,Governor
C000426,Missourians For Matt Blunt,Debt Service,Terminated,Matt,,Blunt,11/2/2004,Governor
C000427,Lemon For State Senate Committee,Exploratory,Terminated,James,,Lemon,11/5/2002,State Senator
C000428,Citizens To Elect Rick Johnson,Debt Service,Terminated,Rick,,Johnson,11/7/2000,State Representative
C000429,University Township Democratic Club Inc,Political Action,Terminated,,,,,
C000431,Missourians For Hanaway Inc,Debt Service,Terminated,Catherine ,L,Hanaway,8/6/2002,State Representative
C000431,Missourians For Hanaway Inc,Debt Service,Terminated,Catherine ,L,Hanaway,11/5/2002,State Representative
C000431,Missourians For Hanaway Inc,Debt Service,Terminated,Catherine ,L,Hanaway,8/3/2004,Secretary of State
C000431,Missourians For Hanaway Inc,Debt Service,Terminated,Catherine ,L,Hanaway,11/2/2004,Secretary of State
C000433,Stamper For Presiding Commissioner,Candidate,Terminated,Don,,Stamper,8/6/2002,Associate Commissioner
C000433,Stamper For Presiding Commissioner,Candidate,Terminated,Don,,Stamper,11/5/2002,Associate Commissioner
C000434,Citizens For Steelman Debt Retirement,Debt Service,Terminated,Sarah,,Steelman,8/6/2002,State Senator
C000434,Citizens For Steelman Debt Retirement,Debt Service,Terminated,Sarah,,Steelman,11/5/2002,State Senator
C000434,Citizens For Steelman Debt Retirement,Debt Service,Terminated,Sarah,,Steelman,8/3/2004,State Treasurer
C000434,Citizens For Steelman Debt Retirement,Debt Service,Terminated,Sarah,,Steelman,11/2/2004,State Treasurer
C000435,MO Voters for Fair Elections,Political Action,Terminated,,,,,
C000436,Committee To Elect Berkowitz,Candidate,Terminated,Sam,,Berkowitz,8/6/2002,State Senator
C000436,Committee To Elect Berkowitz,Candidate,Terminated,Sam,,Berkowitz,11/5/2002,State Senator
C000437,Yeckel Leadership Fund,Political Action,Terminated,,,,,
C000438,Committee To Elect Tom George,Candidate,Terminated,Tom,,George,8/6/2002,State Representative
C000438,Committee To Elect Tom George,Candidate,Terminated,Tom,,George,11/5/2002,State Representative
C000438,Committee To Elect Tom George,Candidate,Terminated,Tom,,George,8/3/2004,State Representative
C000438,Committee To Elect Tom George,Candidate,Terminated,Tom,,George,11/2/2004,State Representative
C000438,Committee To Elect Tom George,Candidate,Terminated,Tom,,George,8/5/2008,Statewide Office
C000439,Womack Campaign Committee,Candidate,Terminated,Dad,,Womack,11/3/1998,State Representative
C000439,Womack Campaign Committee,Candidate,Terminated,Dad,,Womack,11/7/2000,State Representative
C000440,Citizens For Favazza,Candidate,Terminated,Mariano,V,Favazza,8/6/2002,Circuit Clerk
C000440,Citizens For Favazza,Candidate,Terminated,Mariano,V,Favazza,11/5/2002,Circuit Clerk
C000440,Citizens For Favazza,Candidate,Terminated,Mariano,V,Favazza,8/8/2006,Circuit Clerk
C000440,Citizens For Favazza,Candidate,Terminated,Mariano,V,Favazza,11/7/2006,Circuit Clerk
C000440,Citizens For Favazza,Candidate,Terminated,Mariano,V,Favazza,8/3/2010,Circuit Clerk
C000441,Citizens For Agler,Candidate,Terminated,Hal,,Agler,8/4/1998,State Representative
C000442,Committee To Re-Elect Frank Conley,Candidate,Terminated,Frank,,Conley,11/3/1998,Circuit Judge
C000443,Citizens Committee To Re-Elect Louis Ford,Candidate,Terminated,Louis ,,Ford,11/3/1998,State Representative
C000443,Citizens Committee To Re-Elect Louis Ford,Candidate,Terminated,Louis ,,Ford,11/7/2000,State Representative
C000444,For Our Future . . . For Our Kids,Political Action,Terminated,,,,,
C000446,Chiefs of Police Continuing Committee,Political Action,Terminated,,,,,
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,8/6/2002,License Collector
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,11/5/2002,License Collector
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,3/8/2005,Collector of Revenue
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,11/7/2006,Collector of Revenue
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,8/3/2010,Collector of Revenue
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,11/2/2010,Collector of Revenue
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,8/5/2014,Collector of Revenue
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,11/4/2014,Collector of Revenue
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,8/7/2018,Collector of Revenue
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,11/6/2018,Collector of Revenue
C000447,Friends Of Gregory FX Daly,Candidate,Active,Gregory ,,Daly,8/2/2022,Collector of Revenue
C000448,Citizens For Barbara Fraser,Candidate,Terminated,Barbara,,Fraser,8/6/2002,State Representative
C000448,Citizens For Barbara Fraser,Candidate,Terminated,Barbara,,Fraser,11/5/2002,State Representative
C000448,Citizens For Barbara Fraser,Candidate,Terminated,Barbara,,Fraser,8/3/2004,State Representative
C000448,Citizens For Barbara Fraser,Candidate,Terminated,Barbara,,Fraser,11/2/2004,State Representative
C000448,Citizens For Barbara Fraser,Candidate,Terminated,Barbara,,Fraser,8/8/2006,Council Person
C000448,Citizens For Barbara Fraser,Candidate,Terminated,Barbara,,Fraser,11/7/2006,Council Person
C000448,Citizens For Barbara Fraser,Candidate,Terminated,Barbara,,Fraser,8/3/2010,Council Person
C000449,Vic Hurlbert For Clay County Auditor,Candidate,Terminated,Vic,,Hurlbert,8/6/2002,Auditor
C000449,Vic Hurlbert For Clay County Auditor,Candidate,Terminated,Vic,,Hurlbert,11/5/2002,Auditor
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,3/4/2003,Alderperson
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,4/8/2003,Alderperson
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,3/6/2007,Alderperson
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,4/3/2007,Alderperson
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,3/8/2011,Alderperson
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,4/5/2011,Alderperson
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,3/3/2015,Alderperson
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,4/7/2015,Alderperson
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,3/7/2017,Mayor
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,4/4/2017,Mayor
C000450,Lyda Krewson for Mayor,Candidate,Active,Lyda,,Krewson,3/2/2021,Mayor
C000451,Reform Party of Jackson County MO,Political Party,Terminated,,,,,
C000452,General Motors Corporation Political Action Committee-Missouri,Political Action,Terminated,,,,,
C000453,Friends Of Senator Jim Mathewson,Candidate,Terminated,James,,Mathewson,8/8/2006,Statewide Office
C000454,Cape Girardeau Democratic Central Committee,Political Party,Active,,,,,
C000455,Luetkemeyer For Treasurer Debt Retirement,Debt Service,Terminated,Blaine,,Luetkemeyer,8/6/2002,State Representative
C000455,Luetkemeyer For Treasurer Debt Retirement,Debt Service,Terminated,Blaine,,Luetkemeyer,11/5/2002,State Representative
C000455,Luetkemeyer For Treasurer Debt Retirement,Debt Service,Terminated,Blaine,,Luetkemeyer,8/3/2004,State Treasurer
C000456,APAC Inc/Oldcastle Materials Inc Missouri PAC (APAC MO PAC),Political Action,Terminated,,,,,
C000457,Team Farris,Candidate,Terminated,Eric,,Farris,8/4/1998,State Representative
C000457,Team Farris,Candidate,Terminated,Eric,,Farris,11/3/1998,State Representative
C000458,AFT Missouri Cope,Political Action,Active,,,,,
C000459,Teamsters 245 PAF,Political Action,Active,,,,,
