purpose,amount
promotional signage,323.87
merchandise purchased,322.26
christmas parade supplies,320.67
interpreting services,320.0
state of the county/membership,320.0
purchase n85 masks,320.0
10 plaques,319.82
flowers for senate retirement ceremony,319.48
wire transfer fee,319.0
check stock,318.94
tax filing software,317.65000000000003
postgage for mailers,316.27
bulk mailing,314.78
christmas dinner gift certificates,310.5
fundraising database management,309.34000000000003
meals for meeting,308.0
robo calls,306.6
large contribution late fee,306.45
brunch meeting,300.2
meadville school scholarship,300.0
general consultant,300.0
girls state application fees,300.0
committee registration - kansas,300.0
brookfield school scholarshp,300.0
marceline school scholarship,300.0
membership for acdc rep. to state committee,300.0
purchase of 60 yard signs,300.0
ad for rally,300.0
linn county r-1 school scholarship,300.0
reimbursement of steak fry auction item ,300.0
reimburse for trump signs,300.0
2x room chg + dec meals/tab,300.0
2020 tax filings ,300.0
2020 registration,300.0
database,300.0
create web site,300.0
compliance cost,300.0
office utilities,298.17
contribution fees,296.02
payment for t-shirts,294.59000000000003
due cards,292.17
class reunion,292.15
rent for portable toilets and washing station,292.0
post cards,290.89
sign stakes,290.62
phone calls,290.0
office supplies/checks,286.72
merchant fee's,281.46
fundraiser expense,281.19
state and us dues,281.0
flags for trump,280.46999999999997
banner,279.65999999999997
travel reimbursement,279.16
online donor fees,278.18
holiday party,276.97
website renewal,275.88
translation services,275.0
postage for club meeting mailing,275.0
ad for democrats,275.0
fair booth and liability insurance,275.0
buns and bread for golf tournment,274.71
credit card processor fees,272.83
meat,271.51
new hard drives,271.49
"concessions (chips, soda, candy)",271.16
event reception,270.81
parking,270.0
tax return preparation,270.0
signs for rally,270.0
park rental,270.0
pro-life yard signs,269.25
processing fees,268.1
support candidates,268.09
reimbursement for office expenses,267.98
printing-association banner,266.0
reimburse courtyard- event hotel,265.12
tax returns,265.0
newspapaer,265.0
newspapaer ad,265.0
website set up,264.0
fundaiser invitation mailing,263.74
golf sponsor signs,261.48
"panera bread, aldi, schnucks",260.18
sample ballots,260.1
literature printing,259.94
email fees,258.0
fundraiser meals,255.45
office phone- uverse,252.73
odofest hall and beverage ,252.23
p.o. box payment,252.0
back-the-blue (drinks),251.68
reimbursement for walmart for office supplies,250.58
hall deposit for future fund raiser,250.0
compliance work,250.0
scholorship winner,250.0
donation toward purcharse of campaign signs,250.0
rental - rick brattin,250.0
registration / ad book,250.0
rental - eric burlison,250.0
scholarship winner,250.0
donation - covid-19 machine,250.0
fair book ad,250.0
donation - hole sponsor,250.0
display advertising,250.0
bill legal service,250.0
donation -,250.0
buy campaign signs,250.0
donation - 2 hole sponsor,250.0
biden campaign posters,250.0
2019 amended registration,250.0
union membership,250.0
annual dues,250.0
legislative function  ,250.0
ad - zoom convention slide show,250.0
fundrasing database management,247.49
signs for fundraiser,246.0
shirts to exchange for donation,243.0
po box rental fee,242.0
printing envelopes,241.34
"purchase of aluminum, large cups",240.0
poll aprons,240.0
campaign expense-biden signs,240.0
security for event,240.0
website maintenance/hosting,240.0
meeting in the park,240.0
bulk mail permit,240.0
annual website domain registration,239.88
reimbursement-see addendum,238.5
mailing postage,236.4
4 radio ads,235.0
lodging for speaker,234.46
2019 us tax payment,234.0
ballot guide mailer printing,233.37
digital communications,233.0
300 frames,232.78
phone maintenance,232.75
2020 membership,232.0
postcard printing,231.84
internship stipid,231.15
purchase of get out the vote postcards,230.2
stamps-member education mailer,229.35
purchase signs bumper stickers,229.14
phone/internet utility,228.5
signage purchased,228.01
event programs,226.32
funeral flowers,225.48
rent room/cacus,225.0
ad for candidates,225.0
fund raiser (cancelled),224.63
food purchase/cookout,224.13
volunteer food,223.49
"reimbursement for large, small and vehicle signs",222.11
vote signs,221.71
august credit card fee's ,221.66
dinner meeting,221.65
may credit card fee's ,220.74
credit card fee's - february,220.74
breakfast club meeting,220.0
purchase postage,220.0
patches for few seminar,220.0
meat for fundraiser,218.9
cnty cost share - forum,218.71
"minutema/amazon-wc banner, ext.cords.trash pickers",217.4
pac booklet printing,214.12
reimbursement for supplies,213.7
stickers for yard signs,212.48
labels to update date on yard signs,211.77
legal services/reimbursement of expenses,211.25
reimbursement- minuteman-stationary/stamps/tickets,210.05
online processing fee,210.0
stamps to mail postcards for lindsey simmons,210.0
post office box,210.0
hats for trump,209.8
website renewals,209.75
embroidert thread to customize giveaways,209.04
reimburse - kate & ally's staff training lunch,209.01
"lottery tree tickets, shop with a cop fundraiser",209.0
award - elite promotions,208.64
pac filing,207.5
bank service fee,206.0
green party t-shirts,205.0
ordered checks,201.92
printing committee general ad,200.48
bank charges,200.15
in memory of jack martorelli and tamarris bohannon,200.0
provide ride to polls,200.0
cash/change for fish fry,200.0
door hanger,200.0
march & april admin fee,200.0
phone system,200.0
chili supper ad,200.0
1st annual poker run,200.0
ad in book(fundraiser),200.0
2019 taxes,200.0
additional 4' x 8' trump signs,200.0
late filing fee for contrib recd over 5000,200.0
contributions made,200.0
cnty cost share - banquet,200.0
donation- 39th annual gala - ad,200.0
administrative postage,200.0
penalty,200.0
t-shirt ,200.0
reimbursement for trump lawn signs,200.0
campaign assistant director,200.0
trump signs for fundraiser,200.0
reimbursement for fundraising lawn signs,200.0
may & june admin fee,200.0
petty cash for headquarters,200.0
parking lot rental,200.0
dinner,199.44
reimbursement for campaign school.,199.38
button reorder,199.22
buttons for events,199.22
reimb for uline for supplies,198.85
24 car magnets,197.82
processing fees ,197.5
payroll processing,196.0
web site work,196.0
"pac administrative expense, supplies",195.53
radio ads for trump,195.0
trivia refreshments,194.65
food for event,193.84
reimburse for mcalisters deli for meal,193.49
september credit card fee's ,192.07
credit card fee's - march ,192.07
april credit card fee's ,191.94
bank service charge,191.4
peer-to-peer text messages,190.08
tshirts,186.56
graphic designs of postcards for candidate megan m,186.3
voter data district 2,185.0
marketing pins,184.5
event space/cigars,184.36
check reorder,183.27
envelopes & labels for mailing,183.16
reimbursement supplies,180.0
venue,180.0
meal for caucus,179.42
website services,179.38
office supply,177.86
post office box rental,177.0
reimburse enterprise- event travel,175.79
award plaques,175.73
maplewood usps/reimburse postage,175.0
handbills for the polls,174.79
postage and mailers,174.29
printing program for rally,173.81
network equipment- reimbursement to zach johnston,172.95
legal consultation,172.8
club expense - speaker travel,172.5
check supply,170.5
postage and delivery,168.0
p.o. box renewal,168.0
open sign,167.95
food for poll workers,166.77
postage reimbursement,165.0
postage for monthly mtg,165.0
postage for club meeting notices,165.0
reimb for schnucks for supplies,164.73
facility rent xmas party,163.09
food - re-open mo party,161.18
printing - letterhead,161.03
poll signage,161.01
travel expenses in support of bill eigel,161.0
table top placemats for fundraising event,160.0
stationery printing,159.99
hotel for speaker,159.96
bags for canvassing,158.0
king food saver - event expense,157.77
post card stamps,157.5
replenish checking account checks,156.0
golg,155.98
club dues,154.5
post,154.4
groceries for fish fry,154.17
"checks, endorsement stamp, shipping",153.97
tri-fold for trump,153.49
cumulative bank fees since last report,152.0
check re-order,151.45
paypal fee,151.1
refreshments for holiday part,150.93
fundraising advertisement,150.51
meeting compensation,150.0
donation to baseball league,150.0
donation - exec director,150.0
text messaging application to reach voters,150.0
benton neighbor days booth,150.0
trivia night,150.0
bookkeeing,150.0
bookkeepimg,150.0
bookkeeping ,150.0
purchase of materials for members,150.0
raffle tickets fundraiser,150.0
fundraising event photographer,150.0
fundraising event - facility rent,150.0
campaign forum,150.0
meeting space rental,150.0
accouting fees,150.0
accounting/bookkeeping,150.0
water deposit hq,150.0
website fee,150.0
pac steakfry deposit,150.0
office subsciption-reimbursement to alex johnson,149.99
business exp printing and postage,149.93
zoom subscriptions,149.9
payrroll processing,149.0
ads for nancy ragan,148.2
po box annual renewal,148.0
information technology - email hosting,147.77
beveragesfor rally,147.6
december credit card fee's ,146.89
cc processing fee,146.16
reorder checks,142.92
reorder of checks,142.92
club expense - fall kick-off,142.89
music licensing rights,142.0
staffing research,141.58
electric service,141.35
2021 auction item,141.01
bank service and wire transfer fees,141.0
copies and envelopes for soup supper mailing,140.84
reimb for buzzs bbq for lunch meeting,140.64
registration /tickets,140.0
sign,140.0
robo call service,138.0
new checks,137.74
reimbursement-steakfry decoration-hobby lobby,137.66
texting - for candidate megan marshall,137.2
"reimb postcards-vistaprint.com waltham, ma  02451",136.87
planning mtg,135.42
copying for mailing,135.18
supplies for parade float,135.0
general advertising,134.4
general vote pro-life ad,134.4
usps - reimbursement for po box rental,134.0
p.o. box rental,134.0
usps - reimburse for po box rental,134.0
color banner reinbursement,133.42
golf tournament,133.2
bumper stickers / buttons,133.19
corporate income tax,133.0
information technology - web hosting,132.0
dues - 6 members,132.0
pizza for primary watch party,131.21
banking fees,131.0
service fee,130.42000000000002
po box renewal fee,130.0
food for pac meeting,129.0
accumulated club expenses,128.7
event meals,128.15
picnic supplies,126.91
november credit card fee's ,125.74
shared cost of floor cleaning,125.0
sponsorship for kids fishing,125.0
lincoln days booth,125.0
annual card fee,125.0
club officer ad in booklet,125.0
refund,125.0
building rental,125.0
band add'l half hour - leadership awards dinner,125.0
gala ad book ad,125.0
wentzville ordinance,125.0
annual registration-website,124.95
purchase trump merchandise,124.5
lodging - ,123.91
buttons,123.84
p.o. box rent,122.0
golf food,120.93
business cards,120.6
hand cleaning towels and poster glass,120.51
postage/zoom,120.0
membership & finance support,120.0
filing late penalty,120.0
website ad,120.0
purchased campaign signs for members.             ,120.0
rent for meeting room in 2020 ,120.0
campaign expense-ellis signs,120.0
campaign expense - signs,120.0
reimburse for costco for fuel,119.99
rowilux-reimburse for keep america great caps,119.9
copies,119.68
correspondent fees,119.06
po box expense 1 year,118.0
supplies - ice cream,117.99
annual zoom subscription,117.42
2019 state taxes,117.0
state texes,116.0
"102.43 dining, 13.19 postage",115.62
repay for mask fabric,114.79
award,114.5
drinks - watch party,113.41
food for christmas party,112.95
fair booth rental fee,112.5
reimburse for club shirt order,112.29
reimbursement for fundraising shirts,112.29
condiments for mouse races,112.0
web service,112.0
trophies for pool tournament,112.0
printing campaign flyers,111.93
macote - reimburse for keep america great caps,111.9
food for watch party,110.38
raffle tickets,110.11
dues - 5 members,110.0
late filing,110.0
fees,110.0
campaign worke,110.0
party decorations for trump birthday party,108.78
folding,108.51
accounting fees/licenses & fees,108.25
luncheon,108.1
flowers for funeral,108.1
funeral plant,108.0
decorations for trump birthday party,106.65
reimb office max & fedex office for event supplies,106.41
purchased campaign yard signs,106.4
cakes for lincoln day dinner,106.18
utility reimbursement,105.1
office cleaning,105.0
rent space for sweet corn festival,105.0
sticker due to election date change,105.0
reimburse postage/usps maplewood,105.0
reimburse paint & paper purchased,104.71
food - lunches,103.0
biden buttons,102.91
reimbursement for flyer copies,102.86
tech equipment,102.62
travel expense to oppose amendment 2,102.54
shelter rental,102.5
printing reimburse for vista print,102.47
printing parson flyer,102.19
purchase merchandise ,102.0
membership/meeting space,102.0
reimburse-lincoln day award,100.59
electric utility,100.47
billboard ad,100.0
reimbursement for hats ,100.0
yearly dues,100.0
cardinal tickets for raffle,100.0
biden-harris signs,100.0
business bond-mo dishonesty a non profit,100.0
data,100.0
conference room for retreat,100.0
deposit for lincoln day dinner,100.0
trumpbuttons.com-reimburse for buttons,100.0
deposit 4 reagan days hall rental,100.0
fixtures for office,100.0
meeting change for trump sales,100.0
art work on lincoln day printing,100.0
lit drop,100.0
2020 cacuss hall reental,100.0
liabiity insurance for pcrc at republican hq,100.0
donation - 29th annual golf tour - hole sponsor,100.0
researech,100.0
fix leak hq ,100.0
reimbursement - bank fees,100.0
legal fee,100.0
christmas dinner service,100.0
leadership dinner - prayer,100.0
leadership awards dinner - prayer,100.0
donation/coat drive,100.0
water deposit,100.0
payroll deposit,100.0
trump flags,99.69999999999999
online payment fees for donations - oppose prop s ,99.14
social media subscription,98.94
office phone,97.97
jacket for fundraiser,96.62
sms,96.47
sams cellar - event expense,95.0
gift cards,95.0
fence posts,94.62
ad letter & tickets,90.89
sign stands,90.37
award engraving,90.0
reimbruse for a mailing for kathy swan,89.7
reimbursement buttons & bumpers,88.9
reimb for budget for rental cal,88.78
endorsement postcards in support of mike parson,88.5
endorsement postcards in support of lee ann pitman,88.5
endorsement cards in support of eric schmitt,88.5
endorsement postcards in support of mike kehoe,88.5
production of video,87.5
back-the-blue (decorations),86.25
hotel for presenter for seminar,86.04
travel reimbursement for fundraiser event in sedal,85.45
refreshments and cups for campaign event,83.28
printing postcards,83.01
back-the-blue (flowers),81.38
reimb for vista print for map,80.98
reimb for stl co election board for map,80.0
"marsh enterprises llc-reimburse for buttons, pins",79.78
reimb for rock community fire protection/permit,78.0
payroll fees,77.0
food for meeting,76.94999999999999
decorations from target,76.52
cakes for airport appreciation,76.01
2019 1120-pol tax return,75.0
meeting event space,75.0
site rental,75.0
reimburse for sams club for food/grand opening,74.79
purchase t-shirts ,74.44
days inn-lodging reimbursement,74.3
bungee cords,73.86
endorsement flyers,72.85
soda & ice,71.5
sponsored posts,70.08
reimburse for stl co election board maps,70.0
fundraising tickets,69.08
marsh enterprises llc-reimburse for buttons,68.8
sign post,66.53
reimbursement ,65.29
order checks,64.9
raffle tickets printing,64.55
water bill hq,62.2
pac taxes - missouri department of revenue,62.0
flowers for deceased member,61.98
weston enterprises - event expense,59.47
incorporation fee,58.0
reimburse for lincoln day literature,57.88
reimburse for lowes for office supplies,56.84
candy from target,56.48
po box annual fee,56.0
office max - event supplies,55.2
microwave for hq,54.48
framing for auction prints,54.19
newspaper ad for caucus ,54.0
reimb for wicked willies for meal,51.9
hall rental for christmas party,50.0
gather voter signatures,50.0
health permit,50.0
pac registration fee,50.0
park rental for picnic,50.0
business licence,50.0
reimburse for motomart for fuel,48.75
reimburse for olive garden for staff lunch,48.54
masks for trump,48.0
usps - postage,46.75
picnic event expenses over in-kind contribution ,46.48
notice publication,45.5
deposit books for account,45.32
reimb for dominos for door knockers,45.23
statement fee,45.0
reimb for rib crib bbq meal for ,42.91
reimbursement for panera for staff meal,40.45
travel reimbursment,40.17
tip for meal for caucus,40.0
mec late fee,40.0
reimbursement - squarespace,40.0
cc processing,39.95
trade winds - reimburse for flags,39.76
mileage,39.1
purchase return address stamp,38.69
purchase award plaque,37.92
50% split from 50/50 raffle at picnic,37.0
reimbursement for newspaper ad.,36.0
reimburse for circle k for fuel,36.0
email,36.0
bank expense,36.0
folders and tickets for few seminar,35.33
reimbursement for meals to oppose amendment 2,35.04
sams club - event supplies,34.34
reimburse for papa johns for meal,32.98
reimb for caseys for fuel,31.92
dap travel & wincang-reimburse for flags,31.38
education fund,30.0
video conferencing subscription,29.98
reimburse for drury petroleum for fuel,29.19
coffee,28.52
sterno kits - 2019 holiday party (legrand's),27.99
duck brand tape-reimburse for sign materials,26.69
reimburse for watson bp for fuel,25.72
reimbursement of overnight usps package,25.5
registration fee,25.5
meeting room rental,25.0
high game-male winner,25.0
meeting room rent,25.0
high game-female winner,25.0
breckenridge scholar payment,25.0
ups store - reimburse for signs,24.85
reimb for kum & go for fuel,24.83
printing supplies,24.25
flag for trump,23.99
auction supplies,23.0
voter data,22.75
reimburse for break time for fuel,22.72
reimb for petromart for fuel,22.5
reimburse for hucks for fuel,22.36
reimb for party city for supplies,22.12
fee,21.25
8-hour notice late filing fee,20.0
reimb for jefferson co assessors office for maps,20.0
envelopes-member education mailer,18.19
reimburse for office max for supplies,17.49
shpping flyers,17.25
annual corporation registration,15.5
facebook ad,15.020000000000001
charcoal,15.0
reimburse for shell for fuel,14.66
bank service fee for wire transfer,13.0
legal services/delivery expense,12.81
miscellanous items for christmas party,11.99
fed ex - postage,11.15
personal property tax,11.02
reimb for kinkos for map scanning,10.91
reimburse mrl for copies made to oppose amendment ,10.63
postage stamps,10.5
annual corporate organization registration,10.5
amended annual corporate filing,10.5
email domain,10.0
late fee for report,10.0
reimburse for ace hardware for supplies,10.0
service fees,10.0
act blue processing fee,9.76
postage for shipping flyers opposing amendment 2,8.7
ficticious name registration,8.25
meal reimbursement - mcdonalds,8.03
party city - event supplies,7.02
volunteer refreshments,7.0
close committee,6.31
amazon - event supplies,5.74
monthly bank fee,3.0
owed taxes,3.0
newspaper subscription,3.0
mailing supplies,1.09
copy of deposited checks,1.0
payroll error,0.4
