,purpose,amount
7685,trump yard signs,2014.98
5829,printing services ,2014.94
4104,liability insurance,2009.5
4913,office furniture,2009.2199999999998
517,advertizing,2008.3
907,brochures/mailers,2008.1
745,banners - marketing,2005.23
3878,invitation - postage and mailing,2004.3
42,"1522.94 airbnb, 377.94 holiday inn, 100 vfw rental",2000.88
2, christmas presents for campaign staff,2000.0
1907,conducted polling data,2000.0
1974,consulting:campaign mgmt,2000.0
5320,photography and event assistance,2000.0
4876,november bookkeeping,2000.0
5869,printing/postage for mail campaign,2000.0
1881,compliance preperation ,2000.0
3395,fundraising manager,2000.0
6774,setup fee,2000.0
2297,digital strategy,2000.0
3941,june bookkeeping,2000.0
4861,non profit contribution,2000.0
182,75% grassroots/25% consulting,2000.0
5331,photoshoot,2000.0
3037,finance director services,2000.0
5347,placement of display ads and fb post,2000.0
2145,december bookkeeping,2000.0
2239,digital ad design,2000.0
504,advertising/billboards,2000.0
7795,video & ad prod,2000.0
3563,gotv operations,2000.0
3300,fundraiser ,2000.0
1685,charitable gift cards for health care workers,2000.0
4967,office work,2000.0
2050,county exec survey,2000.0
1429,campaign strategy/planning,2000.0
821,billboard advertisement,2000.0
4893,october bookkeeping,2000.0
5471,poltical consulting,2000.0
6749,september bookkeeping,2000.0
3363,fundraising assistant,2000.0
5679,printed mailers and fb ads,2000.0
2471,donation of remaining funds,2000.0
2265,digital campaign,2000.0
3405,fundraising services retainer,2000.0
7899,voter file,2000.0
115,30 under 30 event sponsorship,2000.0
2248,digital advertisements ,2000.0
151,4x8 and 4x4 campaign signs,2000.0
8053,website creation ,2000.0
4560,media consulting & campaign management,2000.0
4475,may bookkeeping,2000.0
4415,march bookkeeping,2000.0
3910,january admin retainer,2000.0
2166,demographic research for senate district,2000.0
607,april bookkeeping,2000.0
7029,social medias,2000.0
427,advertising - social media,2000.0
1238,campaign management fee,2000.0
8142,word processing,2000.0
7704,tv advertisements,1999.98
6052,push pieces,1999.74
1258,campaign material door hangers,1998.79
3891,irect mail,1997.0
8195,yard signs ordered from signs on the cheap,1994.62
643,audio production,1993.0
5736,printing - promotional signs,1992.81
3284,fund raiseing activities,1992.75
519,advertizment,1990.0
6993,social media - june,1985.0
4287,mail design,1983.63
2164,democratic advertising,1982.36
7587,transaction fee,1981.88
1614,catering for fundraiser,1981.34
8052,website creation,1981.29
6148,real estate tax,1978.29
3327,fundraiser meal,1977.05
5832,"printing signs, banners, flyers",1972.68
1327,campaign print material,1966.48
6118,radio production ,1960.0
2193,design,1957.0
7421,tax withholding,1956.3
257,ad,1955.0
1949,consulting : data analysis,1950.0
3685,health care stipend,1950.0
199,accouning fees,1950.0
8029,webpage maintenance,1949.95
4432,marketing material,1949.26
5944,promotional-shirts,1949.22
4548,media & web hosting,1947.0
4546,media & online service,1947.0
6890,signs & decals,1946.59
8005,web site expense,1946.52
7433,technical support,1946.3899999999999
3960,kick off fundraiser,1944.59
3710,holiday mailer,1943.51
3310,fundraiser bowling alley charges,1942.33
6355,reimbursed exp - see form cd-8,1941.96
7302,"supplies, advertising, gas, food",1940.08
4157,liquor,1938.09
7539,tickets,1937.0700000000002
5382,po box rental,1934.0
6930,"signs, balance due",1929.71
5848,printing- mailer,1927.97
4352,mailers/mailings,1927.94
6380,reimbursement - usps for postage,1925.0
1170,campaign handouts (n95 masks),1925.0
362,ads paper,1919.62
4143,lincoln days catering,1918.0
6053,push pieces and decals,1915.03
31,100 yard signs,1905.82
4529,meals/entertainment,1902.29
1193,campaign lit.,1900.0
8203,"yard signs, vehicle magnets",1900.0
3321,fundraiser food cost,1900.0
1781,close sprint campaign account/pay lease agreement,1893.14
7654,truck campaign sign & frame & stickers,1893.0
1272,campaign meeting,1892.37
6807,shirts for golf,1891.28
4587,meeting audio/video,1890.74
4267,magazine advertisement,1890.0
6126,"raffle items: nick's gun & pawn, washington, mo",1888.55
4022,late filing fee,1882.15
3768,hq rent and utilities,1878.6100000000001
573,annual dues,1875.0
8036,website & domains,1871.69
7784,venue rental fee,1870.0
6933,"signs, frames",1866.78
3388,fundraising food and supplies,1864.22
3490,giveaways,1861.58
1696,charity sponsorship,1860.0
4192,"literature, zoom meeting, facebook ads,",1850.0
1207,campaign lodging,1845.19
559,annual audit ,1840.0
1463,campaign tshirts,1836.04
5611,prep of the 2019 tax return inv 6078137,1830.0
1204,campaign literature-mailers,1829.98
3393,fundraising letter printing,1829.0
6479,reimbursement: travel and office supplies,1823.89
3392,fundraising letter mailing,1822.6
3879,invitation - printing,1819.6
7492,texting platform,1818.6
1630,caucus event,1817.9
3841,internet ads,1816.4
1268,campaign meals,1815.16
2523,"door hangers, yard signs",1812.44
5694,printed signs,1809.58
6502,rent 3 billboards,1800.0
4562,media monitoring,1800.0
3216,food pantry,1800.0
3756,housing,1800.0
3174,food for lincoln day,1800.0
4108,license fee,1800.0
1715,checks,1797.7299999999998
725,banking fee,1790.85
6114,radio commercials,1790.35
4176,"lit, signs,and stands",1787.77
3974,koozies,1786.63
5299,phone/internet/cable,1784.7299999999998
4516,meals for bjc,1783.83
758,banquet sponsor,1780.0
4663,merchant service fees,1779.0
5378,po box renewal,1778.0
5213,payroll garnishment,1777.5
5563,"postcard design, print, and mail",1773.88
3391,fundraising items,1773.0
751,banners/signs,1770.87
4347,mailers - printing/postage,1770.72
8187,yard signs and stickers,1767.5
2116,database ,1766.0
7303,supplies-campaign kickoff,1761.03
8181,yard signs and campaign literature,1760.0
7385,"t-shirts, yard signs, yard stakes",1755.44
1352,campaign shirts ,1751.27
305,ad package,1750.0
627,auction,1749.9
7764,various signs,1747.81
6358,reimbursed expenses - see form cd-8,1747.7399999999998
3129,food and drink,1747.44
2776,event hosting and food,1747.38
261,ad - sep 24 issue,1746.0
664,award dinner,1740.68
3951,just mercy screening,1740.0
5274,phone bank minutes,1740.0
2729,equipment,1735.3899999999999
3383,fundraising expenses,1733.12
1450,campaign technology,1731.3000000000002
5385,poatcard and mailing services,1730.94
1631,caucus food,1730.7900000000002
60,"20,000 palm cards",1728.0
6753,september legal services,1727.14
4249,lunch for election day,1721.88
3316,fundraiser event,1720.0
942,"business cards, flyers, signs",1716.96
4434,marketing materials,1716.23
4136,lincoln day printing,1713.17
2061,creation of mail piece,1711.85
6945,"signs, yard and large",1710.53
3856,"internet, yard signs",1703.7
1368,campaign sign purchase,1700.19
7011,social media coordinator,1700.0
4193,literature-palm cards,1700.0
7228,storage rental,1700.0
6045,purchasing signs,1700.0
6624,return of contribution ,1700.0
8016,web store,1697.65
8068,website fee,1695.4299999999998
264,ad book printing - leadership awards dinner,1695.0
6738,senate retirement dinner,1690.75
6361,reimbursement ,1690.29
3278,"fuel, supplies & labor",1688.81
5246,pens,1687.49
5216,payroll processing fees,1687.2000000000003
2896,facilities deposit for state convention,1687.05
5774,printing costs,1685.8600000000001
834,billboard/advertising,1685.36
1099,campaign data,1682.4
4175,lit piece printing,1682.12
3911,january legal services,1680.0
5177,pay vendor,1679.5
1173,campaign hats,1678.89
5562,postcard design,1678.0
1381,campaign signs and lit pieces,1676.7
1963,consulting-website setup,1675.0
301,ad listing endorsement,1674.0
3507,golf fees for fund raiser,1672.0
3169,food for gulf fund raiser,1670.58
5398,political ads,1667.95
2129,database software,1666.0
2976,fence posts,1664.8200000000002
626,attorneys fees,1663.0
6934,"signs, frames, gromets, sign frames ck#001",1656.37
7907,voter list,1655.1399999999999
7027,social media/facebook posting,1650.0
7877,voter analysis and walk lists,1650.0
6942,"signs, shirts, banners, magnet, caps",1649.89
1046,campaign banners,1649.38
6886,signature support,1640.88
7217,sticky lit,1639.32
8172,yard sign wires,1630.49
3927,july expense,1630.24
8176,yard signs & stakes,1627.68
4593,meeting expenses,1627.51
6802,shirts and website,1626.22
6672,salary - exec director kyle gardner,1625.0
3567,gotv texting,1625.0
672,awards dinner,1625.0
7934,walk piece,1624.56
4839,newspaper advertisment,1623.0
6814,shopper ads,1620.0
5935,promotional materials ,1617.77
6756,service charge,1617.3999999999999
1138,campaign expenses,1616.83
479,advertising sign,1615.0
6248,"reimb: software, voter lists, and office supplies",1609.34
5373,po box fee,1609.0
4300,mail processing fees,1607.69
4835,newspaper advertisement ,1606.0
8163,yard sign printing,1604.2
1074,campaign cell phone,1601.7999999999997
4915,office internet,1601.4500000000003
3089,flyer distribution,1600.0
6728,senate bowling tournament expenses,1600.0
5464,polls,1600.0
346,administrative fees,1600.0
6496,rent + deposit,1600.0
6776,setup/aug/sept/oct admin fee,1600.0
6261,reimburse candidate payment to npg,1600.0
7020,social media services,1600.0
6138,rally food,1600.0
6516,rent for office,1600.0
7816,video production/robo call,1598.9
1383,campaign signs and stands,1597.4099999999999
500,advertising-signs,1595.0
4420,mark's quick printing inc-color yard signs ,1592.42
6643,robo calling service,1592.16
5786,printing for mail out,1586.4
2958,fee,1583.37
5838,printing sweatshirts,1581.95
695,ballots,1580.03
7730,us conf of mayors travel,1579.63
2465,donation item ,1579.31
2294,digital services,1575.0
6733,senate dinner filibuster,1574.9499999999998
7360,t-shirt,1574.74
5663,print/design,1574.3600000000001
7259,summer caucus,1571.1499999999999
4067,legislative function ,1568.18
3074,flight,1567.56
5665,print/mailing,1567.0
1608,catering and venue rental,1566.0
1291,campaign office internet and phone,1561.7
4230,"lodging, food, gas, supplies",1561.33
2028,copier,1560.65
7896,voter email lists st. charles county mo,1555.0
8225,youth market animal purchase,1552.5
946,business internet,1552.0600000000002
6011,purchase of signs,1550.0
6194,registration fees,1550.0
2231,die cut door hangers,1550.0
5547,"postage, printing",1546.67
2771,event food and supplies,1545.5500000000002
5400,political advertisement/postage,1544.84
3048,fine,1544.0
1324,campaign postcards,1542.18
4524,meals for rally,1540.0
5874,printling,1539.97
630,auction item,1536.34
2822,event sponsor ,1530.0
1377,campaign signs & car magnets,1527.08
7321,survey vendor,1520.0
2220,development & production of mailing materials,1519.97
7779,venue deposit,1516.68
6253,reimburse - facility rental/food/beverage/trophies,1516.03
6282,reimburse for facebook ads,1512.53
5658,print rack cards,1511.4199999999998
2526,door hangers/yard signs,1511.38
6565,repayment to me as expenditures back to me.,1511.0
6547,rental fees,1510.71
6116,radio political interviews,1510.2
1802,cocktail reception ,1506.0
2246,digital advertisement,1500.0
2867,facebook ad flight #2,1500.0
2065,creative production,1500.0
6783,sheriff's fund,1500.0
2172,deposit for aug event,1500.0
2863,facebood ads,1500.0
2475,donation return,1500.0
7813,video fee,1500.0
2446,donation construction training,1500.0
6700,scholarship program donation,1500.0
2790,event performance,1500.0
256,activity coordinator,1500.0
2460,donation for ppe for staff,1500.0
2887,facebook campaign,1500.0
6589,research / data collection,1500.0
4975,online adv,1500.0
610,april political retainer ,1500.0
5011,operational support retainer,1500.0
2489,donation window repair fund,1500.0
429,advertising - video production,1500.0
405,advertising   facebook,1500.0
7970,web design and delivery,1500.0
2099,data and research,1500.0
7911,voter matched facebook ads,1500.0
2879,facebook adv,1500.0
7844,virtual event management,1500.0
2889,facebook digital ads/management,1500.0
6701,scholarship recipient,1500.0
7800,video and marketing,1500.0
1990,contribution census program,1500.0
1994,contribution feed northland kids missouri covid-19,1500.0
750,banners/push cards,1500.0
1879,compliance fees,1500.0
3752,hotel/conference deposit,1500.0
1880,compliance management,1500.0
7026,social media/communications,1500.0
1484,campaign website and logo,1500.0
827,billboard lease,1500.0
3362,fundraising assistance ,1500.0
7005,social media campaign,1500.0
7134,stage rental,1500.0
7240,strategic campaign oversight ,1500.0
5864,printing/mailing postcards,1500.0
5958,public relations consulting ,1500.0
3994,landing page,1500.0
1427,"campaign strategy, planning, dev., mgmnt (sep 2020",1500.0
1882,compliance service fee,1500.0
7786,"venue, food, drinks",1500.0
752,banquest/campaign sponsership,1500.0
3040,finance/compliance,1500.0
1694,charity fundraiser,1500.0
1051,campaign billboard advertisement,1497.06
5625,prining walk piece,1494.8
6987,snow cones ,1491.26
5656,print media,1490.43
1432,campaign supplies ,1488.84
7340,t's & koozies,1484.72
71,2019 federal tax return,1482.0
5918,promotion,1481.0
2952,february legal services,1480.0
3235,food/drink,1478.41
4611,meeting space expense,1472.75
6418,reimbursement for mileage from 11/2018-11/2019,1471.37
1127,campaign event food & site costs,1466.34
8200,"yard signs, campaign signs",1465.75
6284,reimburse for gilardis for event catering,1462.31
2071,credit card fees,1461.9099999999994
6326,reimburse printing (dale printing),1461.6
2378,disbursement of committee funds,1461.06
6217,reimb for hickory hills country club,1459.2
3885,ipad,1454.9099999999999
5191,payment for stubhub charge for parking passes,1454.66
1338,campaign push cards,1453.3899999999999
1888,"composition, postage",1451.67
2625,election night watch party,1451.58
5961,publication & postage,1450.96
5275,phone bank minutes ,1450.0
6262,reimburse contribution,1450.0
6494,rent ,1450.0
1414,campaign strategy,1450.0
1155,campaign food,1444.3700000000001
5509,postage & mailing svc,1436.94
4364,mailing and yard signs,1434.11
4084,letter printing,1433.92
7451,telephone/cable 3 mos,1430.3100000000002
7530,thrutalk phone banking,1430.07
6957,signs/stickers,1428.57
8136,wireless service,1426.7
1670,chamber event sponsorship,1424.01
2653,email,1420.8500000000001
4491,meal expense,1415.7200000000003
4010,"large signs, yard signs, stakes",1415.24
6049,push cards & banners,1413.28
6803,shirts etc,1407.0
106,2nd mailer,1406.7800000000002
6690,scheduling,1405.5
5268,phone,1403.09
922,bulk mailing,1401.01
7313,support for 4h organization,1400.0
1595,cash for winners at agcmo pac golf outing,1400.0
503,advertising/billboard,1400.0
6522,rent head quarters,1400.0
4626,member appreciation event,1400.0
7591,transfer funds from one pac to another,1400.0
6775,setup fee & sept and oct admin fee,1400.0
6485,relaunch campaign information,1400.0
6484,relaunch campaign,1400.0
1395,campaign signs/cards,1399.8400000000001
3629,hall rental and food for event,1398.78
6956,signs/shipping,1396.49
1582,card print and mail,1394.0
7374,t-shirts - trump 2020,1393.61
6992,social media - july,1390.0
5242,peerly/text messaging,1389.79
1520,campign literature,1389.6
4028,late reporting fine,1389.24
2219,development & production of mailing material,1388.96
4721,missouri payroll taxes,1387.0
5396,political ad,1386.97
4238,logo/signs,1385.0
6902,signs and flyers,1383.3000000000002
4120,lincoln day banquet,1383.0
3329,fundraiser meal expenses,1381.73
915,building rental,1380.0
1250,campaign marketing services,1380.0
7624,travel reimbursement ,1378.61
5155,parking,1378.0
4373,mailing kickoff invite ,1377.28
4378,mailing of kickoff invite,1377.28
2194,design - printed material,1375.0
1917,conference mtg,1374.61
786,best buy - laptop computer and software for campai,1372.28
1650,cell phone bill,1372.0
5479,post card mailings,1368.48
4658,merchant fee,1368.0400000000002
4961,office supplires,1366.13
7411,tax payment,1365.0
1573,car magnets,1364.0700000000002
2777,event insurance,1364.0
591,annual subscription,1359.9099999999999
2382,display advertising,1358.8
1539,candy,1358.7600000000002
5664,print/mail sample ballots,1357.97
1626,caucus,1357.1100000000001
4180,literature ,1356.54
5732,printing - plastic signs and stands,1356.36
2213,"design, print, labeling, postage",1354.8
6740,senate staff christmas party,1350.42
3784,hwy billboard rental,1350.0
5614,preparation of tax forms,1350.0
6506,rent digital sign,1350.0
5195,payment on loan,1350.0
2085,"cupps'friend of ag' signs,posters& bumper stickers",1350.0
7767,vehicle expense,1347.5500000000002
7038,sorting and labeling/printing,1342.98
891,breakfast meeting with pac contributors,1339.99
5837,printing supplies,1338.55
6495,rent & utilities,1338.44
97,25 4x8 campaign signs,1335.75
1072,campaign cars ,1334.23
442,advertising billboards,1333.34
5731,printing - over 65 ltr,1332.84
6470,reimbursement-lunch,1332.26
7988,web page,1331.85
805,biden signs,1330.0
4360,mailing & printing,1329.7
2111,data poll,1329.15
2068,credit card fee,1328.0699999999997
1185,campaign knock app,1325.0
4188,literature palm cards,1325.0
5875,prints for auction,1321.63
6535,rent/food for fund raiser,1318.0
2826,event supplies,1315.8200000000002
701,bandanas for fundraiser,1315.5
171,500 yard signs and sign stakes,1315.16
288,ad in july 22 issue,1314.0
291,ad in october 21 issue,1314.0
2206,design printing yard signs,1312.5
4083,letter mailing and postage,1305.02
393,advertisement signs/apparel,1303.26
364,adv for ben baker,1300.0
1278,"campaign merch-shirts, banners, etc",1300.0
5178,pay vendorn (jewel event center),1300.0
652,august legal services,1300.0
5477,post card and postage fee,1300.0
6630,returned donation over the limit,1300.0
6764,service/photography,1300.0
4137,lincoln day program booklets,1300.0
8217,yes on 3,1300.0
6650,robocalls/texts,1299.96
7363,t-shirt order,1298.52
6102,radio advertisments,1296.0
2024,cool cups,1293.3600000000001
5496,post office box,1293.0
2892,facebook promo,1292.87
6723,see addendum,1287.23
5133,paper supply,1287.0900000000001
5603,pr services,1286.38
1198,campaign literature & printing,1282.27
5662,print yard signs,1282.2
5004,online/print advertisement,1280.0
7928,wages,1279.77
6811,shirts/hats,1279.77
4926,office phone lines/fax/ ,1276.05
6757,service fee,1275.0400000000002
2301,digital web ad,1275.0
6198,reim exp - advertising - rev2 design,1275.0
3598,grassroote outreach,1275.0
2150,decorations,1273.5900000000001
6364,reimbursement - brick river cider - space rental,1273.27
246,act blue fees ,1273.22
164,50% of total for signs,1270.07
689,balance of invoice for signs,1269.0
7684,trump train event balance due,1268.35
1923,consolidation mailers,1268.34
7475,text campaign,1265.35
3992,"labor, supplies, lodging, & fuel",1264.47
5107,pamphlets,1264.3600000000001
5726,printing - florissant ltr,1262.5
5101,palm cards/flyers,1262.02
3224,"food, advertising, gas, supplies",1260.73
601,"apple ipad pro (12.9-inch, wi-fi + cellular, 256gb",1260.41
272,ad for advertising campaign,1260.0
792,beverages,1258.5
6724,see addendum statement,1255.6100000000001
528,aggregate quarter payment,1253.3700000000001
8205,yard signs?,1252.95
357,ads for newspaper,1252.29
6819,sign and campaign storage,1250.52
3014,filing fee refund,1250.0
7865,volunteer messaging,1250.0
4308,"mail, radio production",1250.0
1965,consulting/ social media,1250.0
5095,palm card design & production,1250.0
5425,political research,1250.0
6187,refunds of excess contribution,1250.0
6619,return campaign contribution,1250.0
6336,reimburse yard signs,1248.47
3438,gas,1247.17
221,accounting fees & reim. exp,1246.8300000000002
5948,prop c yard signs,1245.73
6125,raffle item,1245.0
879,branding,1243.2
7836,vinyl banners,1241.75
6860,sign stakes,1241.5100000000002
1423,campaign strategy planning design volunteer,1240.8
6109,radio avertising,1240.0
3947,june legal services,1240.0
179,62 meals for legislators,1240.0
767,basket supplies,1239.13
6231,reimb lost wages,1238.76
3077,flood victims lunch,1236.46
3581,graphic design & trailer vinyl,1235.0
4866,note pads,1229.4
4545,media & mail chimp,1228.0
3997,laptop computer,1227.32
6696,scholarship donation,1225.0
4775,national assessment,1225.0
6994,social media ad,1224.99
6399,reimbursement for campaign signs,1224.0
1456,campaign tools,1224.0
2161,democrat days flyer,1223.15
2084,cupps for house promotional gun socks (soft cases),1220.0
1402,campaign staff,1219.72
100,250 18'x24' signs ,1219.12
5296,"phone, equipment & accessories",1218.08
7439,tee shirts for fundraiser,1217.55
8190,yard signs for campaign,1217.0
5639,print and digial ads,1217.0
5792,printing kickoff invitations,1216.07
375,advertise,1212.4
3427,g-suite,1211.38
1325,campaign posters,1211.13
8179,yard signs / t-shirts,1209.74
1686,charitalbe donation,1209.48
3679,headquarters signage,1206.79
7627,travel reimbursements,1205.73
5591,"posters, stickers and vinyl signs",1203.72
2247,digital advertisements,1202.65
1303,campaign pens,1201.26
3907,jan/feb admin fee,1200.0
6531,rent osage center,1200.0
1621,catering lincoln day,1200.0
7233,storage/rent,1200.0
5984,purchase digital ads,1200.0
2648,electronic sign,1200.0
2260,digital billboards,1200.0
6086,radio ads - amen 3,1200.0
6051,push cards/printing ,1200.0
6652,rodeo sponsor,1200.0
575,annual fees,1200.0
7673,trump large signs,1200.0
2198,design costs,1200.0
2143,december & january admin fees,1200.0
6517,rent for office ,1200.0
4891,oct/nov admin fee,1200.0
6501,rent 1 billboard,1200.0
123,4 newspaper ads,1200.0
7990,web page design and consulting,1200.0
129,4' x 8' trump signs,1200.0
1659,cellphone,1200.0
2955,federal income tax,1199.0
4453,mask supplies,1197.91
5118,paper advertising,1197.0
6916,signs and t-shirts,1196.3600000000001
1628,caucus dinner,1195.85
6869,sign's,1193.99
4807,news service,1190.0
7563,tool box raffle,1189.99
1224,campaign mailing materials,1189.66
3854,internet services,1188.4
4374,mailing labels,1186.28
2147,december expenses,1184.88
3328,fundraiser meal expense,1183.0
1653,cell phone services,1181.97
6324,reimburse postage - all mail usa,1180.0
3175,food for lincoln day event,1178.75
4797,news paper ad - election,1177.0
4801,news paper advertising,1176.04
5849,printing- yard signs & sticks,1173.27
3899,item purchased for auction,1173.15
2686,employee awards dinner ,1173.0
1656,cell services,1172.99
4754,mouse races,1171.94
5493,post for signs,1170.1299999999999
828,billboard print,1170.0
3792,import csv files to google maps & training,1170.0
5566,postcard mailers/postage,1169.15
4530,meals/food,1168.94
3772,hq utilities,1168.54
1373,campaign signage/shipping,1168.09
75,2019 tax filings,1167.25
7977,web domains,1165.65
6230,reimb heartland institute emerging issues forum,1165.04
5767,printing brochures,1163.86
2511,door hanger,1160.75
6663,room rental fee - laura kelly fundraiser,1160.0
5738,printing - sample ballots,1159.26
5226,payroll tax - suta,1158.75
2073,credit card processing,1158.56
6904,signs and magnets,1158.09
5415,political material,1157.94
2372,direct mailings,1156.47
5251,pens-palm cards-business cards-magnets,1156.22
196,absentee program,1156.11
170,500 yard signs,1155.19
3293,fund raising commission,1154.6
2375,director of organizing,1153.85
6727,senate bowling tournament,1150.52
7642,trivia lady,1150.0
2604,election day field director,1150.0
2891,facebook posts,1150.0
1436,campaign support,1149.53
5674,printed election materials,1144.99
125,4 x 4 signs,1144.24
6071,radio ad ,1143.5
6953,signs/cards/door hangars,1142.78
2498,donation/fundraiser,1142.5
6029,purchase t shirts for sale,1141.26
3570,"govwatch subscription, food, supplies",1140.35
187,8 receipts reimbursement,1140.31
2104,data base,1140.0
2860,face masks for fundraiser,1138.43
4459,masks for fundraiser,1138.12
7617,travel expenses,1136.3400000000001
4751,mother's day flowers for female legislators,1135.68
431,advertising - website,1133.0
1310,campaign phones,1132.54
4784,new candidate reception,1131.11
6012,purchase of trump 2020 hats,1131.11
3946,june expeses,1131.06
390,advertisement signage,1129.69
748,banners purchased,1128.47
7621,travel lodging,1127.91
7623,travel reimbursement,1125.4599999999998
212,accounting and reporting ,1125.0
3703,hole sponsor,1125.0
5024,organizing and fundraising,1125.0
4452,mask printing,1125.0
1188,campaign legal advice,1123.2
982,"calendar, phone, internet",1122.47
6372,reimbursement - march on washington expenses,1122.2
163,50 yard signs,1121.04
2259,digital billboard advertising,1120.0
2928,fair market sale,1119.8
1122,campaign equipment,1118.99
856,books for event,1115.75
2367,direct mailer  for canidate trish gumby,1114.35
3486,give away item for golfers,1113.07
3642,hand outs,1111.7
7371,t-shirts ,1111.6100000000001
392,advertisement signs and stickers,1111.5
3088,flyer design/printing and mailing,1110.08
3086,flyer and mailing,1109.99
3646,hand sanitizers,1109.5
7193,stationary and mail service for campaign,1108.62
7601,trap shoot expense,1108.32
1458,campaign travel,1104.68
3467,gift,1104.01
6836,sign material reimbursement ,1101.93
3458,"general consulting, strategy & management.",1101.4
1252,campaign masks,1101.17
1438,campaign support - lit design and volunteer mgmt,1100.0
311,ad purchase,1100.0
5526,postage for gotv mailing for candidates,1100.0
2758,event entertainment,1100.0
809,biden yard signs ,1100.0
3564,gotv postage for candidates,1100.0
7682,trump train event  catering deposit,1100.0
5319,photography / video,1100.0
4017,late fee fine,1100.0
3451,"gas, food, supplies",1097.48
3498,golf classic,1097.0
1890,computer & software,1091.91
11,#77286 #77589 #77863,1090.69
6042,purchased ham & buyer premiums,1090.0
3966,kickoff venue rental costs,1089.88
5220,payroll services,1086.82
3138,food and supplies for fundraising event,1086.46
1826,communication expense,1085.0
3078,flowers,1083.1299999999999
6534,rent-office,1083.0
5104,palm pieces,1082.3899999999999
2824,event sponsorship ,1080.0
4100,letters and mailing,1079.4
5756,printing and mail,1077.17
3021,filing pac reports,1075.0
7367,t-shirt production,1075.0
4450,mask material,1074.1
5717,printing & post card mailing,1073.13
6369,reimbursement - facebook,1072.62
4242,luke davis,1072.5
1114,campaign electronics,1071.18
3860,internet/website charges,1070.68
3833,interest,1069.79
2829,event ticket,1069.24
2525,door hangers/labels,1068.2
2122,database management,1068.06
8183,yard signs and h stakes,1066.25
1097,campaign creative and materials,1065.4
4130,lincoln day event,1061.0
1554,canvass supplies,1060.72
769,bbq,1058.0700000000002
6082,"radio add, amen 3",1058.0
7384,"t-shirts, signs, color, sides, grommets ck#004",1054.57
6304,reimburse for sandwich boards for election,1051.48
5876,priting,1050.0
3171,food for holiday party,1050.0
3219,food service,1050.0
413,advertising - install signs,1050.0
7420,tax services,1050.0
645,audit ,1050.0
6085,radio ads ,1050.0
6718,security deposit,1050.0
6561,repay portion of loan,1049.5
2418,domain website,1048.06
3117,food ,1045.79
5641,print and mail,1042.91
6359,reimbursed expenses: travel,1042.16
4015,late dues,1041.93
4019,late fee--large contribution report,1040.0
4155,lincoln days tables,1040.0
2644,electronic billboard,1040.0
609,april legal services,1040.0
3709,holiday gifts,1039.21
963,buy t-shirts,1038.76
5812,printing of flyers,1035.72
6373,reimbursement - november (details in addendum),1035.13
4214,lodging - conference,1035.08
7796,video & photo production,1035.0
7377,t-shirts and car magnets,1034.74
2540,down payment for signs,1034.16
3027,final payment for signs,1034.16
3435,gala sponsorship tickets,1032.7
5391,policy meal,1029.75
5508,postage & mailing service,1027.86
7747,utilities gas,1027.46
6247,reimb: software office sup travel util,1026.25
162,50 signs,1025.0
3824,installing sign,1025.0
4446,marks quick printing-marketing materials,1024.52
2665,email list,1024.0
4976,online advertisement,1022.36
7184,state payroll taxes,1022.0
4843,newspaper article,1020.0
3118,food & beverage,1019.61
8056,website design & hosting,1018.95
3733,hotel for hrcc,1015.9
4293,mail outs,1015.44
3711,holiday mailer printing,1014.02
836,billboards for dexter,1012.5
6003,purchase of items to be raffled at fundraiser,1012.28
292,ad in paper,1012.15
143,4th of july booth supplies,1010.89
8082,website mgmt,1010.0
3560,gotv auto dials,1008.84
6104,radio adverts,1005.0
7892,voter database,1005.0
1071,campaign cards/door hangers,1001.08
1585,cards,1000.92
1244,campaign manager co.,1000.78
2994,field services,1000.0
4414,march admin retainer,1000.0
3034,finance director ,1000.0
5601,pr consulting,1000.0
5067,pac management ,1000.0
6412,"reimbursement for lawn signs, hats, flags",1000.0
5072,pac setup fee,1000.0
4433,marketing material production,1000.0
5038,outreach and organizing consulting,1000.0
4474,may admin retainer,1000.0
5036,outreach and organizing,1000.0
5032,outdoor bill board rental,1000.0
5985,purchase email addresses,1000.0
6170,refund - non registerd missouri committee,1000.0
6273,reimburse for billboard ads,1000.0
6568,represent due to firing from iron county sheriffs ,1000.0
5172,pay,1000.0
4776,national child safety,1000.0
6551,rental on headquarters,1000.0
6603,reserve hall,1000.0
2794,event planning and fundraising,1000.0
6036,purchase van,1000.0
4873,nov/dec admin fee,1000.0
5159,party building,1000.0
6596,"research, data entry, web productio",1000.0
3760,hq deposit & july rent,1000.0
4888,oct rent for hq,1000.0
3715,honoring gp james t. callahan,1000.0
4892,october admin retainer,1000.0
6587,research (internal use only),1000.0
3504,golf event food,1000.0
4759,multimedia services,1000.0
5014,operatios,1000.0
3266,freedom fund charitable donation,1000.0
4518,meals for christian hospital ne,1000.0
2950,february admin retainer,1000.0
4572,media service,1000.0
4039,lease,1000.0
6171,refund campaign donation,1000.0
3265,free bean feed - food,1000.0
3977,ks & mo primary election svcs ,1000.0
3908,january & february admin fees,1000.0
6639,roberts and yes on 3,1000.0
5351,planning state house primary election,1000.0
3938,june admin retainer,1000.0
5321,photography and video production (9/19/2020),1000.0
3924,july admin retainer,1000.0
5309,photo shoot,1000.0
5318,photography & event assist,1000.0
5061,pac contribution,1000.0
1602,caterer,1000.0
8220,youth ham auction,1000.0
